"No.","Time","Source","Destination","Protocol","Length","Info","New Column"
"6996","-62.213611","127.0.0.1","127.0.0.1","TCP","70","60471 > 59640 [PSH, ACK] Seq=169 Ack=1024 Win=407264 Len=14 TSval=1361430798 TSecr=1361430798","Content-Length"
"6997","-62.213592","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=1024 Ack=183 Win=408096 Len=0 TSval=1361430798 TSecr=1361430798",""
"6998","-62.213583","127.0.0.1","127.0.0.1","TCP","60","60471 > 59640 [PSH, ACK] Seq=183 Ack=1024 Win=407264 Len=4 TSval=1361430798 TSecr=1361430798",":136"
"6999","-62.213574","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=1024 Ack=187 Win=408096 Len=0 TSval=1361430798 TSecr=1361430798",""
"7000","-62.213564","127.0.0.1","127.0.0.1","TCP","196","60471 > 59640 [PSH, ACK] Seq=187 Ack=1024 Win=407264 Len=140 TSval=1361430798 TSecr=1361430798","\\r\\n\\r\\n{""seq"":3,""type"":""request"",""command"":""setbreakpoint"",""arguments"":{""line"":37,""column"":0,""type"":""script"",""enabled"":true,""target"":""app.js""}}"
"7001","-62.213559","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=1024 Ack=327 Win=407968 Len=0 TSval=1361430798 TSecr=1361430798",""
"7002","-62.213179","127.0.0.1","127.0.0.1","TCP","70","60471 > 59640 [PSH, ACK] Seq=327 Ack=1024 Win=407264 Len=14 TSval=1361430798 TSecr=1361430798","Content-Length"
"7003","-62.213152","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=1024 Ack=341 Win=407936 Len=0 TSval=1361430798 TSecr=1361430798",""
"7004","-62.213137","127.0.0.1","127.0.0.1","TCP","200","60471 > 59640 [PSH, ACK] Seq=341 Ack=1024 Win=407264 Len=144 TSval=1361430798 TSecr=1361430798",":136\\r\\n\\r\\n{""seq"":4,""type"":""request"",""command"":""setbreakpoint"",""arguments"":{""line"":43,""column"":0,""type"":""script"",""enabled"":true,""target"":""app.js""}}"
"7005","-62.213125","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=1024 Ack=485 Win=407808 Len=0 TSval=1361430798 TSecr=1361430798",""
"7006","-62.212965","127.0.0.1","127.0.0.1","TCP","70","60471 > 59640 [PSH, ACK] Seq=485 Ack=1024 Win=407264 Len=14 TSval=1361430798 TSecr=1361430798","Content-Length"
"7007","-62.212943","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=1024 Ack=499 Win=407776 Len=0 TSval=1361430798 TSecr=1361430798",""
"7008","-62.212932","127.0.0.1","127.0.0.1","TCP","62","60471 > 59640 [PSH, ACK] Seq=499 Ack=1024 Win=407264 Len=6 TSval=1361430798 TSecr=1361430798",":136\\r\\n"
"7009","-62.212924","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=1024 Ack=505 Win=407776 Len=0 TSval=1361430798 TSecr=1361430798",""
"7010","-62.212916","127.0.0.1","127.0.0.1","TCP","58","60471 > 59640 [PSH, ACK] Seq=505 Ack=1024 Win=407264 Len=2 TSval=1361430798 TSecr=1361430798","\\r\\n"
"7011","-62.212909","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=1024 Ack=507 Win=407776 Len=0 TSval=1361430798 TSecr=1361430798",""
"7012","-62.212732","127.0.0.1","127.0.0.1","TCP","192","60471 > 59640 [PSH, ACK] Seq=507 Ack=1024 Win=407264 Len=136 TSval=1361430799 TSecr=1361430798","{""seq"":5,""type"":""request"",""command"":""setbreakpoint"",""arguments"":{""line"":33,""column"":0,""type"":""script"",""enabled"":true,""target"":""app.js""}}"
"7013","-62.212714","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=1024 Ack=643 Win=407648 Len=0 TSval=1361430799 TSecr=1361430799",""
"7014","-62.212609","127.0.0.1","127.0.0.1","TCP","448","59640 > 60471 [PSH, ACK] Seq=1024 Ack=643 Win=407648 Len=392 TSval=1361430799 TSecr=1361430799","\\r\\n{""seq"":2,""request_seq"":2,""type"":""response"",""command"":""backtrace"",""success"":true,""body"":{""fromFrame"":0,""toFrame"":1,""totalFrames"":1,""frames"":[{""type"":""frame"",""index"":0,""receiver"":{""ref"":1,""type"":""function"",""name"":""Module"",""inferredName"":"""",""scriptId"":31"
"7015","-62.212581","127.0.0.1","127.0.0.1","TCP","56","60471 > 59640 [ACK] Seq=643 Ack=1416 Win=406880 Len=0 TSval=1361430799 TSecr=1361430799",""
"7016","-62.211049","127.0.0.1","127.0.0.1","TCP","1647","59640 > 60471 [PSH, ACK] Seq=1416 Ack=643 Win=407648 Len=1591 TSval=1361430800 TSecr=1361430799","Return"":false,""debuggerFrame"":false,""arguments"":[{""name"":""source"",""value"":{""ref"":4,""type"":""string"",""value"":""// this sets the background color of the master UIView (when there are no window... (length: 1167)""}},{""name"":""filename"",""value"":{""ref"":5,""type"":""s"
"7017","-62.211023","127.0.0.1","127.0.0.1","TCP","56","60471 > 59640 [ACK] Seq=643 Ack=3007 Win=405280 Len=0 TSval=1361430800 TSecr=1361430800",""
"7018","-62.192813","127.0.0.1","127.0.0.1","TCP","70","60471 > 59640 [PSH, ACK] Seq=643 Ack=3007 Win=405280 Len=14 TSval=1361430815 TSecr=1361430800","Content-Length"
"7019","-62.192788","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=3007 Ack=657 Win=407616 Len=0 TSval=1361430815 TSecr=1361430815",""
"7020","-62.192778","127.0.0.1","127.0.0.1","TCP","63","60471 > 59640 [PSH, ACK] Seq=657 Ack=3007 Win=405280 Len=7 TSval=1361430815 TSecr=1361430815",":91\\r\\n\\r\\n"
"7021","-62.192769","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=3007 Ack=664 Win=407616 Len=0 TSval=1361430815 TSecr=1361430815",""
"7022","-62.192761","127.0.0.1","127.0.0.1","TCP","147","60471 > 59640 [PSH, ACK] Seq=664 Ack=3007 Win=405280 Len=91 TSval=1361430815 TSecr=1361430815","{""seq"":7,""type"":""request"",""command"":""scripts"",""arguments"":{""types"":4,""includeSource"":true}}"
"7023","-62.192750","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=3007 Ack=755 Win=407520 Len=0 TSval=1361430815 TSecr=1361430815",""
"7024","-62.178213","127.0.0.1","127.0.0.1","TCP","77","59640 > 60471 [PSH, ACK] Seq=3007 Ack=755 Win=407520 Len=21 TSval=1361430826 TSecr=1361430815","Content-Length: 220\\r\\n"
"7025","-62.178193","127.0.0.1","127.0.0.1","TCP","56","60471 > 59640 [ACK] Seq=755 Ack=3028 Win=405248 Len=0 TSval=1361430826 TSecr=1361430826",""
"7026","-62.139097","127.0.0.1","127.0.0.1","TCP","16388","59640 > 60471 [ACK] Seq=3028 Ack=755 Win=407520 Len=16332 TSval=1361430857 TSecr=1361430826","\\r\\n{""seq"":3,""request_seq"":3,""type"":""response"",""command"":""setbreakpoint"",""success"":true,""body"":{""type"":""scriptName"",""breakpoint"":1,""script_name"":""app.js"",""line"":37,""column"":0,""actual_locations"":[]},""refs"":[],""running"":false}Content-Length: 220\\r\\n\\r\\n{""se"
"7027","-62.139090","127.0.0.1","127.0.0.1","TCP","16388","59640 > 60471 [ACK] Seq=19360 Ack=755 Win=407520 Len=16332 TSval=1361430857 TSecr=1361430826","ficationManager\\"", \\""Android.NotificationManager\\"");\\n\\t\\t\\t\\t\\t\\t\\t},\\n\\t\\t\\t\\t\\t\\t\\tconfigurable: true\\n\\t\\t\\t\\t\\t\\t},\\n\\t\\t\\t\\t\\t\\t\\""TiActivityWindow\\"": {\\n\\t\\t\\t\\t\\t\\t\\tget: function() {\\n\\t\\t\\t\\t\\t\\t\\t\\treturn lazyGet(this, \\""org.appcelerator.titaniu"
"7028","-62.139081","127.0.0.1","127.0.0.1","TCP","16388","59640 > 60471 [ACK] Seq=35692 Ack=755 Win=407520 Len=16332 TSval=1361430857 TSecr=1361430826","\\t\\t\\t\\t\\tvar Filesystem = lazyGet(this, \\""ti.modules.titanium.filesystem.FilesystemModule\\"", \\""Filesystem\\"", \\""Filesystem\\"");\\n\\t\\t\\t\\t\\tif (!(\\""__propertiesDefined__\\"" in Filesystem)) {\\t\\t\\n\\t\\t\\t\\t\\tObject.defineProperties(Filesystem, {\\n\\t\\t\\t\\t\\t\\t\\"
"7029","-62.139078","127.0.0.1","127.0.0.1","TCP","16388","59640 > 60471 [ACK] Seq=52024 Ack=755 Win=407520 Len=16332 TSval=1361430857 TSecr=1361430826","t\\t\\t\\t\\t\\t},\\n\\t\\t\\t\\t\\t\\t\\""ActivityIndicatorStyle\\"": {\\n\\t\\t\\t\\t\\t\\t\\tget: function() {\\n\\t\\t\\t\\t\\t\\t\\t\\treturn lazyGet(this, \\""ti.modules.titanium.ui.activityindicatorstyle.ActivityIndicatorStyleModule\\"", \\""ActivityIndicatorStyle\\"", \\""UI.ActivityIndica"
"7030","-62.139075","127.0.0.1","127.0.0.1","TCP","196","59640 > 60471 [PSH, ACK] Seq=68356 Ack=755 Win=407520 Len=140 TSval=1361430857 TSecr=1361430826","var apiNamespace = wrapperAPI;\\n\\n\\tfor (var j = 0, namesLen = length; j < namesLen; ++j) {\\n\\t\\tvar name = names[j];\\n\\t\\tvar api;\\n\\n\\t\\t/"
"7031","-62.139062","127.0.0.1","127.0.0.1","TCP","56","60471 > 59640 [ACK] Seq=755 Ack=35692 Win=372608 Len=0 TSval=1361430857 TSecr=1361430857",""
"7032","-62.139048","127.0.0.1","127.0.0.1","TCP","56","60471 > 59640 [ACK] Seq=755 Ack=68356 Win=339936 Len=0 TSval=1361430857 TSecr=1361430857",""
"7033","-62.139042","127.0.0.1","127.0.0.1","TCP","56","60471 > 59640 [ACK] Seq=755 Ack=68496 Win=339776 Len=0 TSval=1361430857 TSecr=1361430857",""
"7034","-62.123980","127.0.0.1","127.0.0.1","TCP","16388","59640 > 60471 [ACK] Seq=68496 Ack=755 Win=407520 Len=16332 TSval=1361430870 TSecr=1361430857","/ Create a module wrapper only if it hasn't been wrapped already.\\n\\t\\tif (apiNamespace.hasOwnProperty(name)) {\\n\\t\\t\\tapi = apiNamespace[name];\\n\\n\\t\\t} else {\\n\\t\\t\\tfunction SandboxAPI() {\\n\\t\\t\\t\\tvar proto = this.__proto__;\\n\\t\\t\\t\\tObject.defineProp"
"7035","-62.123973","127.0.0.1","127.0.0.1","TCP","16388","59640 > 60471 [ACK] Seq=84828 Ack=755 Win=407520 Len=16332 TSval=1361430870 TSecr=1361430857","== -1) {\\n\\t\\tout.search = rest.substr(qm);\\n\\t\\tout.query = rest.substr(qm+1);\\n\\t\\t/* disabled for now if (parseQueryString) {\\n\\t\\t\\tout.query = querystring.parse(out.query);\\n\\t\\t}*/\\n\\t\\trest = rest.slice(0, qm);\\n\\t}\\n\\tif (rest) out.pathname = rest"
"7036","-62.123962","127.0.0.1","127.0.0.1","TCP","16388","59640 > 60471 [ACK] Seq=101160 Ack=755 Win=407520 Len=16332 TSval=1361430870 TSecr=1361430857","\\n\\tif (self.id == '.' && self.context.currentActivity) {\\n\\t\\tglobal.require = require;\\n\\t\\tTitanium.Android.currentActivity = self.context.currentActivity;\\n\\n\\t\\treturn runInThisContext(source, filename, true);\\n\\t}\\n\\n\\t// Create context-bound module"
"7037","-62.123958","127.0.0.1","127.0.0.1","TCP","16388","59640 > 60471 [ACK] Seq=117492 Ack=755 Win=407520 Len=16332 TSval=1361430870 TSecr=1361430857",",""source"":""(function (exports, require, module, __filename, __dirname, Titanium, Ti, global, kroll) {/**\\n * Appcelerator Titanium Mobile\\n * Copyright (c) 2012-2014 by Appcelerator, Inc. All Rights Reserved.\\n * Licensed under the terms of the Apache Pub"
"7038","-62.123946","127.0.0.1","127.0.0.1","TCP","10003","59640 > 60471 [PSH, ACK] Seq=133824 Ack=755 Win=407520 Len=9947 TSval=1361430870 TSecr=1361430857","-1;\\n\\t\\t\\t// Also support listener indexes / ids\\n\\t\\t\\tif (typeof listener === 'number') {\\n\\t\\t\\t\\tposition = listener;\\n\\t\\t\\t\\tif (position > list.length || position < 0) {\\n\\t\\t\\t\\t\\treturn this;\\n\\t\\t\\t\\t}\\n\\t\\t\\t} else {\\n\\t\\t\\t\\tfor (var i = 0, l"
"7039","-62.123926","127.0.0.1","127.0.0.1","TCP","56","60471 > 59640 [ACK] Seq=755 Ack=101160 Win=307136 Len=0 TSval=1361430870 TSecr=1361430870",""
"7040","-62.123916","127.0.0.1","127.0.0.1","TCP","56","60471 > 59640 [ACK] Seq=755 Ack=133824 Win=274464 Len=0 TSval=1361430870 TSecr=1361430870",""
"7041","-62.123908","127.0.0.1","127.0.0.1","TCP","56","60471 > 59640 [ACK] Seq=755 Ack=143771 Win=264512 Len=0 TSval=1361430870 TSecr=1361430870",""
"7042","-62.092907","127.0.0.1","127.0.0.1","TCP","70","60471 > 59640 [PSH, ACK] Seq=755 Ack=143771 Win=264512 Len=14 TSval=1361430895 TSecr=1361430870","Content-Length"
"7043","-62.092857","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=143771 Ack=769 Win=407520 Len=0 TSval=1361430895 TSecr=1361430895",""
"7044","-62.092833","127.0.0.1","127.0.0.1","TCP","57","60471 > 59640 [PSH, ACK] Seq=769 Ack=143771 Win=264512 Len=1 TSval=1361430895 TSecr=1361430895",":"
"7045","-62.092816","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=143771 Ack=770 Win=407520 Len=0 TSval=1361430895 TSecr=1361430895",""
"7046","-62.092806","127.0.0.1","127.0.0.1","TCP","58","60471 > 59640 [PSH, ACK] Seq=770 Ack=143771 Win=264512 Len=2 TSval=1361430895 TSecr=1361430895","47"
"7047","-62.092791","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=143771 Ack=772 Win=407520 Len=0 TSval=1361430895 TSecr=1361430895",""
"7048","-62.092781","127.0.0.1","127.0.0.1","TCP","107","60471 > 59640 [PSH, ACK] Seq=772 Ack=143771 Win=264512 Len=51 TSval=1361430895 TSecr=1361430895","\\r\\n\\r\\n{""seq"":8,""type"":""request"",""command"":""continue""}"
"7049","-62.092774","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=143771 Ack=823 Win=407456 Len=0 TSval=1361430895 TSecr=1361430895",""
"7050","-62.084985","127.0.0.1","127.0.0.1","TCP","76","59640 > 60471 [PSH, ACK] Seq=143771 Ack=823 Win=407456 Len=20 TSval=1361430902 TSecr=1361430895","Content-Length: 94\\r\\n"
"7051","-62.084956","127.0.0.1","127.0.0.1","TCP","56","60471 > 59640 [ACK] Seq=823 Ack=143791 Win=264480 Len=0 TSval=1361430902 TSecr=1361430902",""
"7052","-62.043530","127.0.0.1","127.0.0.1","TCP","932","59640 > 60471 [PSH, ACK] Seq=143791 Ack=823 Win=407456 Len=876 TSval=1361430936 TSecr=1361430902","\\r\\n{""seq"":7,""request_seq"":8,""type"":""response"",""command"":""continue"",""success"":true,""running"":true}Content-Length: 460\\r\\n\\r\\n{""seq"":8,""type"":""event"",""event"":""afterCompile"",""success"":true,""body"":{""script"":{""handle"":1,""type"":""script"",""name"":""app.js"",""id"":37"
"7053","-62.043505","127.0.0.1","127.0.0.1","TCP","56","60471 > 59640 [ACK] Seq=823 Ack=144667 Win=263616 Len=0 TSval=1361430936 TSecr=1361430936",""
"7054","-62.040603","127.0.0.1","127.0.0.1","TCP","70","60471 > 59640 [PSH, ACK] Seq=823 Ack=144667 Win=263616 Len=14 TSval=1361430938 TSecr=1361430936","Content-Length"
"7055","-62.040572","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=144667 Ack=837 Win=407456 Len=0 TSval=1361430938 TSecr=1361430938",""
"7056","-62.040559","127.0.0.1","127.0.0.1","TCP","63","60471 > 59640 [PSH, ACK] Seq=837 Ack=144667 Win=263616 Len=7 TSval=1361430938 TSecr=1361430938",":92\\r\\n\\r\\n"
"7057","-62.040549","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=144667 Ack=844 Win=407456 Len=0 TSval=1361430938 TSecr=1361430938",""
"7058","-62.040532","127.0.0.1","127.0.0.1","TCP","148","60471 > 59640 [PSH, ACK] Seq=844 Ack=144667 Win=263616 Len=92 TSval=1361430938 TSecr=1361430938","{""seq"":9,""type"":""request"",""command"":""scripts"",""arguments"":{""includeSource"":true,""ids"":[37]}}"
"7059","-62.040524","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=144667 Ack=936 Win=407360 Len=0 TSval=1361430938 TSecr=1361430938",""
"7060","-62.040083","127.0.0.1","127.0.0.1","TCP","70","60471 > 59640 [PSH, ACK] Seq=936 Ack=144667 Win=263616 Len=14 TSval=1361430939 TSecr=1361430938","Content-Length"
"7061","-62.040057","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=144667 Ack=950 Win=407328 Len=0 TSval=1361430939 TSecr=1361430939",""
"7062","-62.040044","127.0.0.1","127.0.0.1","TCP","61","60471 > 59640 [PSH, ACK] Seq=950 Ack=144667 Win=263616 Len=5 TSval=1361430939 TSecr=1361430939",":81\\r\\n"
"7063","-62.040035","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=144667 Ack=955 Win=407328 Len=0 TSval=1361430939 TSecr=1361430939",""
"7064","-62.040027","127.0.0.1","127.0.0.1","TCP","139","60471 > 59640 [PSH, ACK] Seq=955 Ack=144667 Win=263616 Len=83 TSval=1361430939 TSecr=1361430939","\\r\\n{""seq"":10,""type"":""request"",""command"":""backtrace"",""arguments"":{""inlineRefs"":true}}"
"7065","-62.040019","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=144667 Ack=1038 Win=407232 Len=0 TSval=1361430939 TSecr=1361430939",""
"7066","-62.017237","127.0.0.1","127.0.0.1","TCP","78","59640 > 60471 [PSH, ACK] Seq=144667 Ack=1038 Win=407232 Len=22 TSval=1361430959 TSecr=1361430939","Content-Length: 1628\\r\\n"
"7067","-62.017211","127.0.0.1","127.0.0.1","TCP","56","60471 > 59640 [ACK] Seq=1038 Ack=144689 Win=263584 Len=0 TSval=1361430959 TSecr=1361430959",""
"7068","-61.978773","127.0.0.1","127.0.0.1","TCP","6768","59640 > 60471 [PSH, ACK] Seq=144689 Ack=1038 Win=407232 Len=6712 TSval=1361430991 TSecr=1361430959","\\r\\n{""seq"":10,""request_seq"":9,""type"":""response"",""command"":""scripts"",""success"":true,""body"":[{""handle"":7,""type"":""script"",""name"":""app.js"",""id"":37,""lineOffset"":0,""columnOffset"":0,""lineCount"":67,""source"":""// this sets the background color of the master UIView "
"7069","-61.978746","127.0.0.1","127.0.0.1","TCP","56","60471 > 59640 [ACK] Seq=1038 Ack=151401 Win=518208 Len=0 TSval=1361430991 TSecr=1361430991",""
"7348","-60.805096","127.0.0.1","127.0.0.1","TCP","70","60471 > 59640 [PSH, ACK] Seq=1038 Ack=151401 Win=518208 Len=14 TSval=1361432067 TSecr=1361430991","Content-Length"
"7349","-60.805061","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=151401 Ack=1052 Win=407232 Len=0 TSval=1361432067 TSecr=1361432067",""
"7350","-60.804943","127.0.0.1","127.0.0.1","TCP","57","60471 > 59640 [PSH, ACK] Seq=1052 Ack=151401 Win=518208 Len=1 TSval=1361432067 TSecr=1361432067",":"
"7351","-60.804926","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=151401 Ack=1053 Win=407232 Len=0 TSval=1361432067 TSecr=1361432067",""
"7352","-60.804917","127.0.0.1","127.0.0.1","TCP","60","60471 > 59640 [PSH, ACK] Seq=1053 Ack=151401 Win=518208 Len=4 TSval=1361432067 TSecr=1361432067","93\\r\\n"
"7353","-60.804910","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=151401 Ack=1057 Win=407232 Len=0 TSval=1361432067 TSecr=1361432067",""
"7354","-60.804904","127.0.0.1","127.0.0.1","TCP","151","60471 > 59640 [PSH, ACK] Seq=1057 Ack=151401 Win=518208 Len=95 TSval=1361432067 TSecr=1361432067","\\r\\n{""seq"":11,""type"":""request"",""command"":""lookup"",""arguments"":{""handles"":[1],""inlineRefs"":false}}"
"7355","-60.804899","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=151401 Ack=1152 Win=407136 Len=0 TSval=1361432067 TSecr=1361432067",""
"7356","-60.801235","127.0.0.1","127.0.0.1","TCP","2141","59640 > 60471 [PSH, ACK] Seq=151401 Ack=1152 Win=407136 Len=2085 TSval=1361432070 TSecr=1361432067","Content-Length: 2061\\r\\n\\r\\n{""seq"":12,""request_seq"":11,""type"":""response"",""command"":""lookup"",""success"":true,""body"":{""1"":{""handle"":1,""type"":""object"",""className"":""global"",""constructorFunction"":{""ref"":26},""protoObject"":{""ref"":3},""prototypeObject"":{""ref"":2},""p"
"7357","-60.801212","127.0.0.1","127.0.0.1","TCP","56","60471 > 59640 [ACK] Seq=1152 Ack=153486 Win=516096 Len=0 TSval=1361432070 TSecr=1361432070",""
"7358","-60.790787","127.0.0.1","127.0.0.1","TCP","70","60471 > 59640 [PSH, ACK] Seq=1152 Ack=153486 Win=516096 Len=14 TSval=1361432080 TSecr=1361432070","Content-Length"
"7359","-60.790750","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=153486 Ack=1166 Win=407104 Len=0 TSval=1361432080 TSecr=1361432080",""
"7360","-60.790733","127.0.0.1","127.0.0.1","TCP","62","60471 > 59640 [PSH, ACK] Seq=1166 Ack=153486 Win=516096 Len=6 TSval=1361432080 TSecr=1361432080",":104\\r\\n"
"7361","-60.790723","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=153486 Ack=1172 Win=407104 Len=0 TSval=1361432080 TSecr=1361432080",""
"7362","-60.790713","127.0.0.1","127.0.0.1","TCP","162","60471 > 59640 [PSH, ACK] Seq=1172 Ack=153486 Win=516096 Len=106 TSval=1361432080 TSecr=1361432080","\\r\\n{""seq"":12,""type"":""request"",""command"":""scope"",""arguments"":{""number"":0,""frameNumber"":0,""inlineRefs"":true}}"
